chr,start,end,testSample2
1,30000,59999,0.328325961
1,60000,89999,0.286981373
1,90000,119999,0.222850272
1,120000,149999,0.22918854
1,150000,179999,-0.082237626
1,210000,239999,0.595877403
1,240000,269999,0.397734339
1,300000,329999,0.542565287
1,360000,389999,0.441870535
1,390000,419999,0.191005444
1,420000,449999,-0.076473921
1,450000,479999,0.034751714
1,510000,539999,0.392683121
1,570000,599999,0.187028529
1,600000,629999,0.235659247
1,630000,659999,0.138288392
1,660000,689999,-0.0773416
1,690000,719999,-0.159564177
1,720000,749999,-0.073689976
1,750000,779999,-0.018485595
1,780000,809999,-0.025436928
1,810000,839999,-0.153834636
1,840000,869999,0.016073068
1,870000,899999,-0.042985598
1,900000,929999,-0.232325807
1,930000,959999,-0.229983327
1,960000,989999,-0.0397368
1,990000,1019999,-0.085195781
1,1020000,1049999,-0.302076514
1,1050000,1079999,-0.134108477
1,1080000,1109999,-0.120006104
1,1110000,1139999,-0.195357165
1,1140000,1169999,-0.074112939
1,1170000,1199999,-0.174761562
1,1200000,1229999,-0.188162032
1,1230000,1259999,-0.063959044
1,1260000,1289999,-0.044423036
1,1290000,1319999,-0.256675753
1,1320000,1349999,-0.340344761
1,1350000,1379999,-0.239200729
1,1380000,1409999,-0.298027762
1,1410000,1439999,-0.242525978
1,1440000,1469999,-0.226513504
1,1470000,1499999,-0.226181874
1,1500000,1529999,-0.374754085
1,1530000,1559999,-0.246061998
1,1560000,1589999,-0.215886452
1,1590000,1619999,-0.275033443
1,1620000,1649999,-0.25155227
1,1650000,1679999,-0.272053917
1,1680000,1709999,-0.293111269
1,1710000,1739999,-0.325408307
1,1740000,1769999,-0.369700562
1,1770000,1799999,-0.393452363
1,1800000,1829999,-0.370779976
1,1830000,1859999,-0.215700274
1,1860000,1889999,-0.255160502
1,1890000,1919999,-0.188613146
1,1920000,1949999,-0.300001909
1,1950000,1979999,-0.165801439
1,1980000,2009999,-0.070998077
1,2010000,2039999,-0.13974022
1,2040000,2069999,-0.242743769
1,2070000,2099999,-0.206832988
1,2100000,2129999,-0.169619354
1,2130000,2159999,-0.19519271
1,2160000,2189999,-0.210796951
1,2190000,2219999,-0.180939582
1,2220000,2249999,-0.1059706
1,2250000,2279999,-0.161099222
1,2280000,2309999,-0.202138365
1,2310000,2339999,-0.139789948
1,2340000,2369999,-0.084236429
1,2370000,2399999,0.032341807
1,2400000,2429999,0.083447813
1,2430000,2459999,0.005544558
1,2460000,2489999,-0.060571848
1,2490000,2519999,-0.142859748
